formation_days,entry_z,max_pairs,cost_bps_per_side,is_default,n_oos_days,gross_sharpe,gross_ann_return,net_sharpe,net_ann_return,net_ann_vol,net_max_drawdown,ann_turnover,net_cumulative
504,1.5,20,20,False,4410,-0.3291895,-0.0090819952,-0.76901861,-0.020661339,0.026683287,-0.31514338,5.4114286,-0.30605391
504,1.5,50,0,False,4410,-0.30169539,-0.0067392324,-0.33883895,-0.0075375641,0.021637702,-0.13927251,4.3131429,-0.12401562
504,1.5,50,1,False,4410,-0.30169539,-0.0067392324,-0.35878415,-0.007965534,0.021636994,-0.14392202,4.3131429,-0.13060264
504,1.5,50,2,False,4410,-0.30169539,-0.0067392324,-0.37872692,-0.0083933247,0.021636499,-0.14854647,4.3131429,-0.13714021
504,1.5,50,5,False,4410,-0.30169539,-0.0067392324,-0.43853473,-0.0096756221,0.021636297,-0.16227076,4.3131429,-0.15645992
504,1.5,50,10,False,4410,-0.30169539,-0.0067392324,-0.53811068,-0.011809207,0.02164023,-0.19223897,4.3131429,-0.18770448
504,1.5,50,20,False,4410,-0.30169539,-0.0067392324,-0.73660961,-0.016062991,0.021664097,-0.25069004,4.3131429,-0.24676988
504,2,5,0,False,4410,-0.34698117,-0.01139668,-0.368736,-0.012076688,0.031588374,-0.22727835,4.4342857,-0.19154363
504,2,5,1,False,4410,-0.34698117,-0.01139668,-0.38280602,-0.012514605,0.031585708,-0.23311279,4.4342857,-0.19779212
504,2,5,2,False,4410,-0.34698117,-0.01139668,-0.39687336,-0.012952341,0.031583444,-0.23890335,4.4342857,-0.20399252
504,2,5,5,False,4410,-0.34698117,-0.01139668,-0.43905394,-0.014264465,0.031579066,-0.25601502,4.4342857,-0.22230873
504,2,5,10,False,4410,-0.34698117,-0.01139668,-0.50925107,-0.016447728,0.031579818,-0.28368708,4.4342857,-0.2519075
504,2,5,20,False,4410,-0.34698117,-0.01139668,-0.64901539,-0.02080075,0.031611487,-0.33599308,4.4342857,-0.30778061
504,2,20,0,False,4410,-0.32640541,-0.0067591348,-0.35937783,-0.0074196565,0.020155521,-0.1418249,4.0457143,-0.12219261
504,2,20,1,False,4410,-0.32640541,-0.0067591348,-0.37940669,-0.0078212052,0.020157838,-0.14737742,4.0457143,-0.12838646
504,2,20,2,False,4410,-0.32640541,-0.0067591348,-0.39942543,-0.0082225977,0.020160434,-0.1528941,4.0457143,-0.13453671
504,2,20,5,False,4410,-0.32640541,-0.0067591348,-0.45941264,-0.0094258383,0.020169894,-0.16923143,4.0457143,-0.15272884
504,2,20,10,False,4410,-0.32640541,-0.0067591348,-0.55911228,-0.01142812,0.020191224,-0.19576478,4.0457143,-0.18220506
504,2,20,20,False,4410,-0.32640541,-0.0067591348,-0.75710357,-0.015421015,0.020254661,-0.24909416,4.0457143,-0.23812305
